State,Rate_c_per_kWh
Alabama,12.41
Alaska,22.54
Arizona,13.16
Arkansas,9.99
California,19.9
Colorado,12.28
Connecticut,21.62
DC,13.21
Delaware,12.05
Florida,11.37
Georgia,12.26
Hawaii,32.76
Idaho,10.58
Illinois,12.56
Indiana,12.02
Iowa,13.81
Kansas,11.56
Kentucky,10.56
Louisiana,9.37
Maine,16.16
Maryland,13.92
Massachusetts,21.11
Michigan,16.07
Minnesota,14.09
Mississippi,11.55
Missouri,13.23
Montana,11.85
Nebraska,11.31
Nevada,11.67
New Hampshire,19.63
New Jersey,15.64
New Mexico,13.37
New York,19.3
North Carolina,11.24
North Dakota,12.07
Ohio,12.64
Oklahoma,10.72
Oregon,11.02
Pennsylvania,14.38
Rhode Island,18.64
South Carolina,12.91
South Dakota,12.39
Tennessee,10.79
Texas,11.36
Utah,10.63
Vermont,18.5
Virginia,12.4
Washington,9.79
West Virginia,11.57
Wisconsin,14.28
Wyoming,12.3
