,Lat_long,Most_common_sqft_binned,Most_common_hvac_heating_fuel_new,Most_common_heating_setpoint,Most_common_in.vintage,Most_common_in.occupants,Most_common_in.geometry_building_type_height,Most_common_electric_water_heater,Most_common_clothes_washer_usage_new,Most_common_cooling_setpoint,Most_common_Lighting_new,Most_common_hvac_cooling_eff_new,Most_common_in.hvac_has_ducts
0,"(24.73, -81.05)",1000-1499,Electric-resistance,55,1980s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
1,"(25.82, -80.3)",1000-1499,Electric-resistance,70,1950s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
2,"(25.9, -97.43)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
3,"(26.15, -81.77)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
4,"(26.2, -80.167)",1500-1999,Electric-resistance,70,1990s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
5,"(26.23, -97.65)",1000-1499,Electric-resistance,72,1950s,1,Single-Family Detached,Electric Standard,avg,76,Incandescent,high,Yes
6,"(26.31, -98.17)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
7,"(26.53, -81.75)",1000-1499,Electric-resistance,55,1980s,2,Single-Family Detached,Electric Standard,avg,75,Incandescent,high,Yes
8,"(26.58, -81.87)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
9,"(26.68, -80.1)",1500-1999,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
10,"(27.38, -82.55)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
11,"(27.483, -80.367)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
12,"(27.5, -97.82)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
13,"(27.57, -99.49)",1500-1999,Electric-resistance,70,2000s,1,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
14,"(27.65, -80.42)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
15,"(27.68, -97.28)",1500-1999,Electric-resistance,70,1950s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
16,"(27.73, -98.03)",1000-1499,Electric-resistance,55,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
17,"(27.88, -97.63)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
18,"(27.9, -82.68)",1500-1999,Electric-resistance,70,1950s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
19,"(27.97, -82.53)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
20,"(27.983, -82.017)",1000-1499,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
21,"(28.08, -97.05)",1000-1499,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
22,"(28.12, -80.65)",1500-1999,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
23,"(28.43, -81.33)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
24,"(28.45, -99.22)",1500-1999,Electric-resistance,70,1990s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
25,"(28.55, -81.33)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
26,"(28.72, -96.25)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
27,"(28.78, -81.25)",1500-1999,Electric-resistance,68,1980s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
28,"(28.87, -96.93)",1000-1499,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
29,"(29.17, -82.22)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
30,"(29.18, -81.07)",1000-1499,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
31,"(29.183, -81.067)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
32,"(29.33, -98.47)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
33,"(29.37, -100.78)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
34,"(29.37, -99.17)",1000-1499,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
35,"(29.38, -100.91)",1000-1499,Electric-resistance,72,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
36,"(29.53, -98.47)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
37,"(29.53, -98.28)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
38,"(29.567, -90.667)",1500-1999,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
39,"(29.57, -95.09)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
40,"(29.65, -95.283)",2500-3499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
41,"(29.7, -82.283)",2000-2499,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
42,"(29.7, -82.28)",1000-1499,Electric-resistance,70,1980s,1,Single-Family Detached,Electric Standard,avg,76,LED_CFL,high,Yes
43,"(29.72, -91.33)",1000-1499,Electric-resistance,68,1960s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
44,"(29.82, -90.02)",1500-1999,Electric-resistance,68,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
45,"(29.95, -94.02)",1500-1999,Electric-resistance,70,1960s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
46,"(30.0, -95.37)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
47,"(30.0, -90.25)",1500-1999,Non-electric,70,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
48,"(30.033, -91.883)",1000-1499,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,76,LED_CFL,avg,Yes
49,"(30.05, -90.03)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
50,"(30.07, -95.55)",2500-3499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
51,"(30.07, -85.58)",2500-3499,Electric-HP,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
52,"(30.12, -93.23)",1000-1499,Electric-resistance,68,1950s,1,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
53,"(30.2, -91.98)",1000-1499,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
54,"(30.2, -85.68)",1000-1499,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
55,"(30.22, -93.17)",1500-1999,Electric-resistance,72,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
56,"(30.23, -81.67)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
57,"(30.29, -97.74)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
58,"(30.32, -97.77)",2500-3499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
59,"(30.37, -104.02)",1000-1499,Non-electric,70,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
60,"(30.38, -84.37)",1000-1499,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
61,"(30.4, -89.07)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
62,"(30.4, -89.067)",1000-1499,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
63,"(30.42, -88.92)",1000-1499,Electric-resistance,75,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
64,"(30.48, -87.18)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
65,"(30.48, -86.52)",1000-1499,Electric-resistance,68,1990s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
66,"(30.5, -81.7)",1500-1999,Electric-resistance,72,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
67,"(30.53, -91.15)",1500-1999,Electric-resistance,70,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
68,"(30.533, -91.15)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
69,"(30.58, -96.37)",1000-1499,Electric-resistance,55,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
70,"(30.583, -96.367)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
71,"(30.633, -88.067)",1000-1499,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
72,"(30.68, -97.68)",2500-3499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
73,"(30.68, -88.25)",1500-1999,Non-electric,70,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
74,"(30.78, -83.28)",1000-1499,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
75,"(30.97, -83.2)",1000-1499,Electric-resistance,72,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
76,"(31.05, -93.18)",1000-1499,Non-electric,55,1950s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
77,"(31.07, -97.83)",1500-1999,Electric-resistance,55,1990s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
